Tarih,Parça No,Hat,Vardiya,Hata Tipi,Hata Adedi,Üretim Adedi,Iskarta Maliyeti (₺),Tespit Aşaması
05.03.2024,VAL-011,Hat-2,Vardiya-2,Boyut Hatası,43,796,33928.84,Final Kontrol
05.06.2024,VAL-015,Hat-1,Vardiya-2,Montaj Hatası,13,789,13296.35,Müşteri İadesi
05.06.2024,VAL-015,Hat-3,Vardiya-1,Yüzey Çizigi,16,746,6463.92,Müşteri İadesi
06.03.2024,VAL-006,Hat-3,Vardiya-1,Renk Uyumsuzluğu,25,317,8244.92,Final Kontrol
06.05.2024,VAL-002,Hat-1,Vardiya-3,Deformasyon,5,312,3896.86,Müşteri İadesi
06.06.2024,VAL-003,Hat-1,Vardiya-1,Boyut Hatası,14,462,12697.21,Müşteri İadesi
07.01.2024,VAL-013,Hat-2,Vardiya-2,Malzeme Hatası,5,485,6833.61,Final Kontrol
07.02.2024,VAL-017,Hat-2,Vardiya-1,Montaj Hatası,44,779,45642.69,Süreç İçi
07.02.2024,VAL-009,Hat-1,Vardiya-1,Deformasyon,5,348,3830.56,Süreç İçi
07.02.2024,VAL-005,Hat-1,Vardiya-3,Malzeme Hatası,36,799,46909.38,Müşteri İadesi
07.03.2024,VAL-011,Hat-4,Vardiya-2,Yüzey Çizigi,21,665,8533.35,Müşteri İadesi
07.04.2024,VAL-015,Hat-3,Vardiya-3,Kaynak Hatası,11,573,11785.84,Süreç İçi
07.04.2024,VAL-018,Hat-3,Vardiya-2,Yüzey Çizigi,4,532,1588.96,Gelen Kontrol
07.04.2024,VAL-015,Hat-4,Vardiya-3,Malzeme Hatası,20,639,25343.15,Gelen Kontrol
07.04.2024,VAL-005,Hat-4,Vardiya-1,Montaj Hatası,5,237,4902.25,Final Kontrol
07.04.2024,VAL-004,Hat-3,Vardiya-3,Kaynak Hatası,31,439,30860.67,Final Kontrol
07.05.2024,VAL-015,Hat-4,Vardiya-3,Yüzey Çizigi,9,471,3588.45,Final Kontrol
08.02.2024,VAL-012,Hat-1,Vardiya-2,Renk Uyumsuzluğu,10,765,3056.47,Gelen Kontrol
08.02.2024,VAL-003,Hat-3,Vardiya-3,Yüzey Çizigi,18,321,7959.84,Süreç İçi
08.03.2024,VAL-012,Hat-2,Vardiya-3,Boyut Hatası,24,450,19522.75,Müşteri İadesi
08.03.2024,VAL-005,Hat-1,Vardiya-2,Kaynak Hatası,34,631,34510.1,Gelen Kontrol
08.04.2024,VAL-004,Hat-4,Vardiya-3,Yüzey Çizigi,37,590,15101.65,Final Kontrol
08.04.2024,VAL-012,Hat-1,Vardiya-1,Yüzey Çizigi,11,228,5018.08,Final Kontrol
08.05.2024,VAL-006,Hat-3,Vardiya-1,Malzeme Hatası,52,693,62336.84,Final Kontrol
08.07.2024,VAL-019,Hat-1,Vardiya-3,Montaj Hatası,1,232,900.36,Süreç İçi
08.07.2024,VAL-018,Hat-4,Vardiya-3,Kaynak Hatası,36,637,35716.58,Gelen Kontrol
08.07.2024,VAL-009,Hat-4,Vardiya-1,Kaynak Hatası,39,737,41038.13,Gelen Kontrol
08.07.2024,VAL-007,Hat-1,Vardiya-1,Kaynak Hatası,17,416,19300.0,Süreç İçi
09.01.2024,VAL-010,Hat-2,Vardiya-2,Kaynak Hatası,30,489,30169.79,Süreç İçi
09.02.2024,VAL-005,Hat-2,Vardiya-3,Montaj Hatası,19,317,20287.45,Müşteri İadesi
09.03.2024,VAL-020,Hat-1,Vardiya-2,Kaynak Hatası,18,375,20707.34,Süreç İçi
09.05.2024,VAL-005,Hat-2,Vardiya-3,Malzeme Hatası,18,365,24540.75,Gelen Kontrol
09.06.2024,VAL-014,Hat-2,Vardiya-1,Boyut Hatası,15,757,13126.47,Final Kontrol
09.07.2024,VAL-015,Hat-4,Vardiya-3,Malzeme Hatası,18,453,23696.16,Müşteri İadesi
10.01.2024,VAL-008,Hat-4,Vardiya-1,Yüzey Çizigi,23,671,9283.63,Süreç İçi
10.01.2024,VAL-003,Hat-4,Vardiya-3,Malzeme Hatası,21,458,24233.59,Müşteri İadesi
10.05.2024,VAL-017,Hat-1,Vardiya-3,Renk Uyumsuzluğu,29,398,9486.66,Final Kontrol
10.06.2024,VAL-008,Hat-3,Vardiya-2,Kaynak Hatası,14,292,16873.28,Gelen Kontrol
10.07.2024,VAL-008,Hat-2,Vardiya-1,Deformasyon,26,366,20988.17,Müşteri İadesi
10.07.2024,VAL-013,Hat-2,Vardiya-3,Montaj Hatası,22,664,20082.75,Final Kontrol
11.04.2024,VAL-009,Hat-1,Vardiya-3,Renk Uyumsuzluğu,15,326,4527.78,Final Kontrol
11.04.2024,VAL-001,Hat-1,Vardiya-2,Yüzey Çizigi,14,508,6194.4,Final Kontrol
11.06.2024,VAL-009,Hat-4,Vardiya-1,Boyut Hatası,11,203,9856.99,Final Kontrol
11.07.2024,VAL-010,Hat-2,Vardiya-2,Yüzey Çizigi,10,403,3800.52,Süreç İçi
11.07.2024,VAL-009,Hat-4,Vardiya-2,Deformasyon,16,283,10991.14,Gelen Kontrol
11.07.2024,VAL-019,Hat-4,Vardiya-1,Renk Uyumsuzluğu,22,588,6177.15,Final Kontrol
12.01.2024,VAL-018,Hat-1,Vardiya-1,Malzeme Hatası,21,329,28184.42,Müşteri İadesi
12.02.2024,VAL-016,Hat-4,Vardiya-2,Montaj Hatası,26,418,27530.85,Süreç İçi
12.02.2024,VAL-001,Hat-3,Vardiya-2,Boyut Hatası,4,532,3259.49,Final Kontrol
12.04.2024,VAL-003,Hat-3,Vardiya-3,Yüzey Çizigi,57,780,24983.37,Süreç İçi
12.04.2024,VAL-005,Hat-2,Vardiya-1,Kaynak Hatası,4,205,4645.01,Süreç İçi
12.05.2024,VAL-010,Hat-1,Vardiya-2,Boyut Hatası,9,364,7572.46,Süreç İçi
12.06.2024,VAL-001,Hat-1,Vardiya-3,Kaynak Hatası,16,481,16625.7,Gelen Kontrol
13.01.2024,VAL-017,Hat-4,Vardiya-1,Deformasyon,11,743,7619.1,Gelen Kontrol
13.02.2024,VAL-012,Hat-4,Vardiya-3,Boyut Hatası,7,647,5644.55,Müşteri İadesi
13.05.2024,VAL-012,Hat-2,Vardiya-3,Montaj Hatası,11,271,11045.52,Gelen Kontrol
13.05.2024,VAL-020,Hat-3,Vardiya-3,Deformasyon,50,751,37874.58,Müşteri İadesi
13.06.2024,VAL-018,Hat-4,Vardiya-1,Malzeme Hatası,4,228,5377.04,Final Kontrol
13.07.2024,VAL-014,Hat-2,Vardiya-1,Malzeme Hatası,10,484,11788.28,Final Kontrol
14.02.2024,VAL-006,Hat-1,Vardiya-2,Boyut Hatası,29,618,25583.6,Müşteri İadesi
14.02.2024,VAL-016,Hat-4,Vardiya-1,Kaynak Hatası,26,386,26511.36,Müşteri İadesi
14.03.2024,VAL-014,Hat-2,Vardiya-2,Deformasyon,39,793,30557.09,Müşteri İadesi
14.03.2024,VAL-003,Hat-1,Vardiya-2,Renk Uyumsuzluğu,25,719,7692.2,Gelen Kontrol
14.03.2024,VAL-010,Hat-2,Vardiya-1,Boyut Hatası,8,248,6690.96,Müşteri İadesi
14.04.2024,VAL-008,Hat-1,Vardiya-2,Deformasyon,15,316,12419.3,Süreç İçi
14.04.2024,VAL-002,Hat-3,Vardiya-2,Kaynak Hatası,14,579,15225.62,Süreç İçi
14.05.2024,VAL-012,Hat-2,Vardiya-3,Malzeme Hatası,25,489,30679.81,Final Kontrol
14.06.2024,VAL-008,Hat-2,Vardiya-3,Boyut Hatası,9,349,7186.83,Süreç İçi
14.07.2024,VAL-019,Hat-3,Vardiya-3,Yüzey Çizigi,36,639,16555.03,Gelen Kontrol
15.01.2024,VAL-017,Hat-3,Vardiya-2,Boyut Hatası,30,517,25254.76,Gelen Kontrol
15.02.2024,VAL-014,Hat-3,Vardiya-2,Deformasyon,18,454,12747.57,Gelen Kontrol
15.05.2024,VAL-015,Hat-3,Vardiya-1,Renk Uyumsuzluğu,28,716,9253.87,Müşteri İadesi
15.05.2024,VAL-015,Hat-3,Vardiya-3,Renk Uyumsuzluğu,7,640,2297.2,Gelen Kontrol
15.06.2024,VAL-014,Hat-2,Vardiya-2,Montaj Hatası,27,433,25607.63,Müşteri İadesi
16.02.2024,VAL-016,Hat-4,Vardiya-3,Boyut Hatası,23,681,19191.64,Final Kontrol
16.02.2024,VAL-019,Hat-2,Vardiya-1,Kaynak Hatası,5,610,5106.06,Gelen Kontrol
16.03.2024,VAL-012,Hat-2,Vardiya-2,Yüzey Çizigi,1,509,437.47,Süreç İçi
16.03.2024,VAL-013,Hat-1,Vardiya-2,Malzeme Hatası,2,208,2705.31,Müşteri İadesi
16.03.2024,VAL-014,Hat-3,Vardiya-3,Yüzey Çizigi,9,405,3996.6,Final Kontrol
16.03.2024,VAL-002,Hat-2,Vardiya-3,Deformasyon,3,404,2195.91,Final Kontrol
16.04.2024,VAL-011,Hat-4,Vardiya-2,Renk Uyumsuzluğu,27,677,7637.23,Müşteri İadesi
16.04.2024,VAL-017,Hat-3,Vardiya-1,Malzeme Hatası,10,202,13065.13,Müşteri İadesi
16.04.2024,VAL-011,Hat-1,Vardiya-3,Montaj Hatası,17,520,16241.17,Süreç İçi
16.05.2024,VAL-012,Hat-4,Vardiya-2,Boyut Hatası,42,718,34566.39,Müşteri İadesi
16.05.2024,VAL-011,Hat-4,Vardiya-1,Kaynak Hatası,35,699,34926.42,Gelen Kontrol
16.06.2024,VAL-002,Hat-1,Vardiya-3,Montaj Hatası,7,547,6515.16,Süreç İçi
16.06.2024,VAL-005,Hat-4,Vardiya-1,Renk Uyumsuzluğu,10,286,3136.53,Final Kontrol
17.01.2024,VAL-013,Hat-4,Vardiya-3,Renk Uyumsuzluğu,34,679,10015.98,Gelen Kontrol
17.03.2024,VAL-014,Hat-3,Vardiya-1,Malzeme Hatası,45,612,53951.12,Süreç İçi
17.04.2024,VAL-006,Hat-4,Vardiya-2,Renk Uyumsuzluğu,20,782,6083.53,Gelen Kontrol
17.04.2024,VAL-016,Hat-2,Vardiya-2,Yüzey Çizigi,28,479,11726.23,Müşteri İadesi
17.06.2024,VAL-015,Hat-3,Vardiya-2,Kaynak Hatası,2,231,2419.38,Müşteri İadesi
17.06.2024,VAL-008,Hat-4,Vardiya-1,Deformasyon,12,310,9749.96,Final Kontrol
17.06.2024,VAL-001,Hat-3,Vardiya-1,Yüzey Çizigi,20,479,9108.18,Final Kontrol
18.01.2024,VAL-011,Hat-1,Vardiya-1,Boyut Hatası,16,726,12997.46,Müşteri İadesi
18.01.2024,VAL-008,Hat-1,Vardiya-3,Montaj Hatası,19,322,17674.91,Gelen Kontrol
18.02.2024,VAL-007,Hat-3,Vardiya-1,Boyut Hatası,48,793,41144.31,Final Kontrol
18.02.2024,VAL-019,Hat-2,Vardiya-3,Montaj Hatası,27,439,24044.98,Müşteri İadesi
18.03.2024,VAL-004,Hat-4,Vardiya-2,Boyut Hatası,35,440,27582.2,Müşteri İadesi
18.05.2024,VAL-019,Hat-2,Vardiya-1,Renk Uyumsuzluğu,16,684,5242.34,Müşteri İadesi
18.05.2024,VAL-011,Hat-1,Vardiya-1,Deformasyon,20,334,14825.23,Süreç İçi
18.06.2024,VAL-005,Hat-1,Vardiya-1,Boyut Hatası,16,566,13841.68,Gelen Kontrol
19.01.2024,VAL-006,Hat-1,Vardiya-2,Deformasyon,39,514,31115.82,Final Kontrol
19.02.2024,VAL-002,Hat-1,Vardiya-1,Kaynak Hatası,19,433,22928.23,Süreç İçi
19.04.2024,VAL-020,Hat-1,Vardiya-3,Malzeme Hatası,27,446,31639.37,Gelen Kontrol
19.06.2024,VAL-002,Hat-4,Vardiya-1,Malzeme Hatası,23,519,26470.7,Süreç İçi
20.01.2024,VAL-016,Hat-2,Vardiya-3,Montaj Hatası,49,777,48783.21,Final Kontrol
20.03.2024,VAL-012,Hat-4,Vardiya-1,Montaj Hatası,29,729,26265.79,Süreç İçi
20.04.2024,VAL-010,Hat-1,Vardiya-1,Kaynak Hatası,34,698,38650.15,Gelen Kontrol
20.05.2024,VAL-002,Hat-1,Vardiya-1,Kaynak Hatası,54,753,53635.32,Gelen Kontrol
20.05.2024,VAL-012,Hat-3,Vardiya-1,Kaynak Hatası,18,664,19034.23,Süreç İçi
20.06.2024,VAL-006,Hat-4,Vardiya-2,Deformasyon,9,678,7497.63,Gelen Kontrol
20.06.2024,VAL-019,Hat-4,Vardiya-3,Kaynak Hatası,14,358,15877.16,Müşteri İadesi
20.06.2024,VAL-014,Hat-1,Vardiya-1,Renk Uyumsuzluğu,2,570,602.96,Süreç İçi
21.01.2024,VAL-016,Hat-1,Vardiya-3,Deformasyon,18,270,14407.32,Süreç İçi
21.01.2024,VAL-019,Hat-4,Vardiya-3,Renk Uyumsuzluğu,21,735,7075.99,Süreç İçi
21.01.2024,VAL-005,Hat-2,Vardiya-1,Yüzey Çizigi,45,592,17587.6,Süreç İçi
21.01.2024,VAL-014,Hat-1,Vardiya-1,Kaynak Hatası,39,530,40758.16,Gelen Kontrol
21.01.2024,VAL-020,Hat-4,Vardiya-1,Kaynak Hatası,32,446,38106.32,Süreç İçi
21.01.2024,VAL-010,Hat-4,Vardiya-1,Kaynak Hatası,15,547,15949.13,Süreç İçi
21.02.2024,VAL-009,Hat-2,Vardiya-3,Boyut Hatası,24,692,20622.53,Gelen Kontrol
21.03.2024,VAL-001,Hat-1,Vardiya-3,Montaj Hatası,7,776,6274.51,Süreç İçi
21.03.2024,VAL-015,Hat-2,Vardiya-3,Boyut Hatası,29,680,25297.73,Final Kontrol
21.06.2024,VAL-009,Hat-1,Vardiya-2,Renk Uyumsuzluğu,6,241,1849.03,Müşteri İadesi
22.04.2024,VAL-017,Hat-1,Vardiya-1,Montaj Hatası,5,215,4811.78,Süreç İçi
22.05.2024,VAL-019,Hat-1,Vardiya-2,Renk Uyumsuzluğu,22,775,7051.9,Müşteri İadesi
23.03.2024,VAL-001,Hat-4,Vardiya-3,Boyut Hatası,20,571,16114.14,Süreç İçi
23.04.2024,VAL-017,Hat-2,Vardiya-1,Montaj Hatası,22,373,19769.64,Final Kontrol
23.04.2024,VAL-007,Hat-1,Vardiya-3,Malzeme Hatası,9,762,12212.26,Müşteri İadesi
23.04.2024,VAL-019,Hat-3,Vardiya-1,Malzeme Hatası,45,634,53438.61,Final Kontrol
23.04.2024,VAL-016,Hat-4,Vardiya-2,Renk Uyumsuzluğu,27,652,7990.28,Gelen Kontrol
23.05.2024,VAL-003,Hat-3,Vardiya-2,Montaj Hatası,14,243,12399.43,Gelen Kontrol
24.01.2024,VAL-004,Hat-4,Vardiya-3,Malzeme Hatası,39,552,46454.08,Gelen Kontrol
24.01.2024,VAL-015,Hat-2,Vardiya-1,Malzeme Hatası,14,227,15936.4,Final Kontrol
24.03.2024,VAL-002,Hat-1,Vardiya-2,Yüzey Çizigi,25,361,10747.46,Gelen Kontrol
24.03.2024,VAL-001,Hat-1,Vardiya-3,Montaj Hatası,12,640,10887.84,Süreç İçi
24.04.2024,VAL-014,Hat-2,Vardiya-2,Yüzey Çizigi,30,485,11969.51,Gelen Kontrol
24.04.2024,VAL-012,Hat-4,Vardiya-2,Malzeme Hatası,49,765,61782.02,Müşteri İadesi
24.04.2024,VAL-017,Hat-3,Vardiya-3,Renk Uyumsuzluğu,15,311,4653.57,Gelen Kontrol
24.05.2024,VAL-003,Hat-2,Vardiya-2,Deformasyon,14,767,10823.82,Süreç İçi
24.06.2024,VAL-016,Hat-1,Vardiya-3,Kaynak Hatası,5,654,5939.19,Final Kontrol
25.01.2024,VAL-014,Hat-1,Vardiya-3,Malzeme Hatası,27,633,33527.42,Gelen Kontrol
25.01.2024,VAL-010,Hat-1,Vardiya-1,Deformasyon,3,651,2316.29,Süreç İçi
26.01.2024,VAL-018,Hat-3,Vardiya-1,Kaynak Hatası,4,567,4310.36,Süreç İçi
26.02.2024,VAL-015,Hat-1,Vardiya-1,Kaynak Hatası,27,509,27423.06,Gelen Kontrol
26.04.2024,VAL-009,Hat-1,Vardiya-3,Renk Uyumsuzluğu,17,382,5704.91,Final Kontrol
26.04.2024,VAL-013,Hat-2,Vardiya-2,Yüzey Çizigi,48,720,21689.44,Gelen Kontrol
26.04.2024,VAL-007,Hat-1,Vardiya-1,Kaynak Hatası,2,221,2326.19,Süreç İçi
26.05.2024,VAL-011,Hat-2,Vardiya-2,Renk Uyumsuzluğu,33,687,9515.66,Gelen Kontrol
26.06.2024,VAL-015,Hat-2,Vardiya-2,Boyut Hatası,24,620,21119.56,Süreç İçi
27.01.2024,VAL-009,Hat-2,Vardiya-2,Boyut Hatası,24,309,20617.15,Final Kontrol
27.01.2024,VAL-011,Hat-2,Vardiya-3,Montaj Hatası,19,707,19225.46,Müşteri İadesi
27.01.2024,VAL-003,Hat-3,Vardiya-2,Renk Uyumsuzluğu,2,376,588.72,Müşteri İadesi
27.02.2024,VAL-002,Hat-1,Vardiya-3,Deformasyon,8,231,5714.42,Gelen Kontrol
27.03.2024,VAL-019,Hat-1,Vardiya-1,Renk Uyumsuzluğu,15,435,4191.69,Gelen Kontrol
27.04.2024,VAL-013,Hat-1,Vardiya-3,Boyut Hatası,19,765,17213.98,Final Kontrol
27.05.2024,VAL-019,Hat-4,Vardiya-2,Montaj Hatası,19,627,17186.91,Gelen Kontrol
27.06.2024,VAL-002,Hat-4,Vardiya-3,Renk Uyumsuzluğu,8,455,2458.41,Müşteri İadesi
28.01.2024,VAL-012,Hat-4,Vardiya-3,Kaynak Hatası,46,670,47088.27,Süreç İçi
28.02.2024,VAL-008,Hat-3,Vardiya-3,Kaynak Hatası,20,394,20902.76,Süreç İçi
28.03.2024,VAL-007,Hat-4,Vardiya-3,Yüzey Çizigi,5,340,1922.41,Gelen Kontrol
28.04.2024,VAL-015,Hat-3,Vardiya-1,Malzeme Hatası,15,209,20254.54,Süreç İçi
28.05.2024,VAL-002,Hat-3,Vardiya-2,Boyut Hatası,23,644,20443.61,Final Kontrol
28.05.2024,VAL-010,Hat-1,Vardiya-1,Renk Uyumsuzluğu,26,584,8771.65,Süreç İçi
29.01.2024,VAL-020,Hat-4,Vardiya-2,Renk Uyumsuzluğu,17,216,5349.1,Süreç İçi
29.04.2024,VAL-005,Hat-1,Vardiya-1,Deformasyon,26,431,21606.65,Final Kontrol
29.05.2024,VAL-019,Hat-4,Vardiya-3,Montaj Hatası,15,570,16162.14,Süreç İçi
29.05.2024,VAL-019,Hat-1,Vardiya-2,Montaj Hatası,1,688,1066.78,Final Kontrol
29.06.2024,VAL-020,Hat-3,Vardiya-3,Deformasyon,1,741,785.52,Final Kontrol
30.04.2024,VAL-011,Hat-3,Vardiya-3,Renk Uyumsuzluğu,42,607,11927.14,Final Kontrol
30.04.2024,VAL-013,Hat-1,Vardiya-2,Malzeme Hatası,2,459,2428.55,Gelen Kontrol
31.05.2024,VAL-003,Hat-1,Vardiya-1,Kaynak Hatası,9,638,10626.37,Süreç İçi
31.05.2024,VAL-004,Hat-2,Vardiya-2,Kaynak Hatası,39,508,45521.43,Gelen Kontrol
31.05.2024,VAL-011,Hat-3,Vardiya-1,Deformasyon,6,451,4358.38,Müşteri İadesi
